fpr,tpr  # AUC=0.660826
1.432835820895522472e-01,3.024691358024691468e-01
1.462686567164179219e-01,3.024691358024691468e-01
1.492537313432835688e-01,3.024691358024691468e-01
1.492537313432835688e-01,3.055555555555555802e-01
1.492537313432835688e-01,3.086419753086419582e-01
1.492537313432835688e-01,3.117283950617283916e-01
1.492537313432835688e-01,3.148148148148148251e-01
1.492537313432835688e-01,3.179012345679012586e-01
1.522388059701492435e-01,3.179012345679012586e-01
1.522388059701492435e-01,3.209876543209876365e-01
1.552238805970149182e-01,3.209876543209876365e-01
1.582089552238805930e-01,3.209876543209876365e-01
1.582089552238805930e-01,3.240740740740740700e-01
1.582089552238805930e-01,3.271604938271605034e-01
1.611940298507462677e-01,3.271604938271605034e-01
1.611940298507462677e-01,3.302469135802469369e-01
1.611940298507462677e-01,3.333333333333333148e-01
1.611940298507462677e-01,3.364197530864197483e-01
1.611940298507462677e-01,3.395061728395061817e-01
1.641791044776119424e-01,3.395061728395061817e-01
1.671641791044776171e-01,3.395061728395061817e-01
1.671641791044776171e-01,3.425925925925926152e-01
1.671641791044776171e-01,3.456790123456789932e-01
1.701492537313432918e-01,3.456790123456789932e-01
1.731343283582089665e-01,3.456790123456789932e-01
1.761194029850746134e-01,3.456790123456789932e-01
1.791044776119402882e-01,3.456790123456789932e-01
1.791044776119402882e-01,3.487654320987654266e-01
1.820895522388059629e-01,3.487654320987654266e-01
1.850746268656716376e-01,3.487654320987654266e-01
1.850746268656716376e-01,3.518518518518518601e-01
1.880597014925373123e-01,3.518518518518518601e-01
1.880597014925373123e-01,3.549382716049382935e-01
1.880597014925373123e-01,3.580246913580246715e-01
1.880597014925373123e-01,3.611111111111111049e-01
1.880597014925373123e-01,3.641975308641975384e-01
1.910447761194029870e-01,3.641975308641975384e-01
1.940298507462686617e-01,3.641975308641975384e-01
1.940298507462686617e-01,3.672839506172839719e-01
1.940298507462686617e-01,3.703703703703703498e-01
1.940298507462686617e-01,3.734567901234567833e-01
1.970149253731343364e-01,3.734567901234567833e-01
2.000000000000000111e-01,3.734567901234567833e-01
